Bl	G	R	H	S	V	L	A	B	Color
0	183	217	25	255	217	192	126	205	1
0	168	225	22	255	225	184	137	203	1
1	157	240	20	254	240	182	150	203	1
0	150	240	19	255	240	178	153	203	1
0	145	240	18	255	240	175	156	202	1
2	144	241	18	253	241	175	157	202	1
4	144	242	18	251	242	175	157	202	1
4	144	242	18	251	242	175	157	202	1
2	142	240	18	253	240	173	158	201	1
6	141	241	17	249	241	173	159	201	1
8	141	242	17	247	242	173	159	201	1
13	141	244	17	241	244	174	160	200	1
15	141	245	16	239	245	174	160	200	1
18	141	245	16	236	245	174	161	200	1
18	140	245	16	236	245	174	161	199	1
48	130	243	13	205	243	168	166	188	1
52	130	244	12	201	244	169	166	187	1
41	131	243	13	212	243	169	165	191	1
41	133	245	14	212	245	170	165	192	1
34	134	243	14	219	243	170	163	194	1
29	131	239	15	224	239	167	163	194	1
39	136	239	15	213	239	170	161	192	1
40	133	237	14	212	237	168	162	191	1
150	110	233	170	135	233	159	180	129	1
0	182	215	25	255	215	191	126	205	1
0	164	226	22	255	226	182	140	203	1
0	153	237	19	255	237	179	151	203	1
0	147	238	19	255	238	176	154	202	1
0	143	239	18	255	239	174	157	201	1
1	143	240	18	254	240	174	157	201	1
2	144	241	18	253	241	175	157	202	1
1	143	241	18	254	241	174	158	202	1
1	143	240	18	254	240	174	157	201	1
2	142	241	18	253	241	174	158	201	1
2	140	240	17	253	240	172	159	201	1
4	139	239	17	251	239	171	159	200	1
3	140	240	17	252	240	172	159	201	1
4	142	241	17	251	241	174	158	201	1
3	142	240	18	252	240	173	158	201	1
6	135	236	17	249	236	168	160	199	1
5	135	236	17	250	236	168	160	199	1
3	137	236	17	252	236	169	159	200	1
1	138	237	17	254	237	170	159	200	1
0	137	236	17	255	236	169	159	200	1
0	137	236	17	255	236	169	159	200	1
0	142	239	18	255	239	173	157	201	1
12	135	235	17	242	235	168	159	198	1
99	111	234	3	147	234	157	175	157	1
0	182	213	26	255	213	190	125	204	1
0	161	229	21	255	229	181	143	203	1
0	150	237	19	255	237	177	152	202	1
0	145	240	18	255	240	175	156	202	1
0	142	239	18	255	239	173	157	201	1
0	143	240	18	255	240	174	157	202	1
0	143	240	18	255	240	174	157	202	1
0	142	239	18	255	239	173	157	201	1
0	142	239	18	255	239	173	157	201	1
0	141	240	18	255	240	173	158	201	1
0	140	239	18	255	239	172	158	201	1
0	137	236	17	255	236	169	159	200	1
0	137	236	17	255	236	169	159	200	1
0	140	237	18	255	237	171	158	201	1
0	143	240	18	255	240	174	157	202	1
0	140	239	18	255	239	172	158	201	1
0	140	239	18	255	239	172	158	201	1
0	138	237	17	255	237	170	159	201	1
0	137	236	17	255	236	169	159	200	1
0	137	236	17	255	236	169	159	200	1
0	140	239	18	255	239	172	158	201	1
1	144	241	18	254	241	175	157	202	1
21	133	236	16	232	236	167	161	196	1
99	112	235	3	148	235	158	174	158	1
